   2.7000000e+01   7.9000000e+01   5.3000000e+01
   3.4354839e+01   8.4677419e+01   5.2158730e+01
   4.1709677e+01   9.0354839e+01   5.1317460e+01
   4.9064516e+01   9.6032258e+01   5.0476190e+01
   5.6419355e+01   1.0170968e+02   4.9634921e+01
   6.3774194e+01   1.0738710e+02   4.8793651e+01
   7.1129032e+01   1.1306452e+02   4.7952381e+01
   7.8483871e+01   1.1874194e+02   4.7111111e+01
   8.5838710e+01   1.2441935e+02   4.6269841e+01
   9.3193548e+01   1.3009677e+02   4.5428571e+01
   1.0054839e+02   1.3577419e+02   4.4587302e+01
   1.0790323e+02   1.4145161e+02   4.3746032e+01
   1.1525806e+02   1.4712903e+02   4.2904762e+01
   1.2261290e+02   1.5280645e+02   4.2063492e+01
   1.2996774e+02   1.5848387e+02   4.1222222e+01
   1.3732258e+02   1.6416129e+02   4.0380952e+01
   1.4467742e+02   1.6983871e+02   3.9539683e+01
   1.5203226e+02   1.7551613e+02   3.8698413e+01
   1.5938710e+02   1.8119355e+02   3.7857143e+01
   1.6674194e+02   1.8687097e+02   3.7015873e+01
   1.7409677e+02   1.9254839e+02   3.6174603e+01
   1.8145161e+02   1.9822581e+02   3.5333333e+01
   1.8880645e+02   2.0390323e+02   3.4492063e+01
   1.9616129e+02   2.0958065e+02   3.3650794e+01
   2.0351613e+02   2.1525806e+02   3.2809524e+01
   2.1087097e+02   2.2093548e+02   3.1968254e+01
   2.1822581e+02   2.2661290e+02   3.1126984e+01
   2.2558065e+02   2.3229032e+02   3.0285714e+01
   2.3293548e+02   2.3796774e+02   2.9444444e+01
   2.4029032e+02   2.4364516e+02   2.8603175e+01
   2.4764516e+02   2.4932258e+02   2.7761905e+01
   2.5500000e+02   2.5500000e+02   2.6920635e+01
   2.5500000e+02   2.5500000e+02   2.6079365e+01
   2.5006452e+02   2.4841935e+02   2.5238095e+01
   2.4512903e+02   2.4183871e+02   2.4396825e+01
   2.4019355e+02   2.3525806e+02   2.3555556e+01
   2.3525806e+02   2.2867742e+02   2.2714286e+01
   2.3032258e+02   2.2209677e+02   2.1873016e+01
   2.2538710e+02   2.1551613e+02   2.1031746e+01
   2.2045161e+02   2.0893548e+02   2.0190476e+01
   2.1551613e+02   2.0235484e+02   1.9349206e+01
   2.1058065e+02   1.9577419e+02   1.8507937e+01
   2.0564516e+02   1.8919355e+02   1.7666667e+01
   2.0070968e+02   1.8261290e+02   1.6825397e+01
   1.9577419e+02   1.7603226e+02   1.5984127e+01
   1.9083871e+02   1.6945161e+02   1.5142857e+01
   1.8590323e+02   1.6287097e+02   1.4301587e+01
   1.8096774e+02   1.5629032e+02   1.3460317e+01
   1.7603226e+02   1.4970968e+02   1.2619048e+01
   1.7109677e+02   1.4312903e+02   1.1777778e+01
   1.6616129e+02   1.3654839e+02   1.0936508e+01
   1.6122581e+02   1.2996774e+02   1.0095238e+01
   1.5629032e+02   1.2338710e+02   9.2539683e+00
   1.5135484e+02   1.1680645e+02   8.4126984e+00
   1.4641935e+02   1.1022581e+02   7.5714286e+00
   1.4148387e+02   1.0364516e+02   6.7301587e+00
   1.3654839e+02   9.7064516e+01   5.8888889e+00
   1.3161290e+02   9.0483871e+01   5.0476190e+00
   1.2667742e+02   8.3903226e+01   4.2063492e+00
   1.2174194e+02   7.7322581e+01   3.3650794e+00
   1.1680645e+02   7.0741935e+01   2.5238095e+00
   1.1187097e+02   6.4161290e+01   1.6825397e+00
   1.0693548e+02   5.7580645e+01   8.4126984e-01
   1.0200000e+02   5.1000000e+01   0.0000000e+00
